sku,weight,product_online,meta_title,meta_keywords,meta_description,created_at,updated_at,country_of_manufacture,additional_attributes
FSEP3402-B3,70,1,Acacia Blonde Hardwood Flooring For Sale | Unique Wood Floors,,"Shop Acacia Blonde hardwood flooring from Unique Wood Floors. Easy Online Ordering!
","5/9/14, 2:12 PM","2/23/22, 10:55 AM",,"am_shipping_type=Solid Wood,color=Light,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=21.8,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Random to 3',manufacturer=True Acacia,mico_carton_min=1,mico_carton_unit=21.8,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut, Shittim,popularity_by_rating=93,popularity_by_reviews=3,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=FSEP3402-B3-SAMPLE,sample_title_type=0,stain=Natural,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3"",wood=Acacia Confusa"
FSEP3402-HS5,75,1,Acacia Natural Hand Scraped Solid Hardwood Flooring | Unique Wood Floors,,"Shop Acacia Natural Hand Scraped hardwood flooring from Unique Wood Floors. Easy Online Ordering!
","9/5/14, 3:05 PM","7/9/22, 12:09 PM",,"am_shipping_type=Solid Wood,color=Light,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.06,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Random to 4',manufacturer=True Acacia,mico_carton_min=1,mico_carton_unit=22.06,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut, Shittim,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=FSEP3402-HS5-SAMPLE,sample_title_type=0,stain=Natural,structure=Solid,texture=Scraped,thickness=11/16"",waste_percent=10,width=5"",wood=Acacia Confusa"
FSEP3402-N3,70,2,Acacia Golden Sagebrush Strip Hardwood Flooring,,"Shop Acacia Golden Sagebrush Strip hardwood flooring from Unique Wood Floors. Easy Online Ordering!
","9/5/14, 3:30 PM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=20.34,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Random to 3',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=20.34,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut, Shittim,popularity_by_rating=0,popularity_by_reviews=291,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSEP3402-N3-SAMPLE,stain=Golden Sagebrush,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3"",wood=Acacia Confusa"
FSEP3402-HSA5,70,2,Acacia Golden Sagebrush Hand Scraped Hardwood Flooring,,"Shop Acacia Golden Sagebrush Hand Scraped hardwood flooring from Unique Wood Floors. Easy Online Ordering!
","8/9/14, 11:33 AM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.06,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.06,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut, Shittim,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSEP3402-HSA5-SAMPLE,stain=Golden Sagebrush,structure=Solid,texture=Scraped,thickness=11/16"",waste_percent=10,width=5"",wood=Acacia Confusa"
FSEP3402-GS358,70,1,Acacia Golden Sagebrush Plank Hardwood Flooring,,"Shop Acacia Golden Sagebrush Plank hardwood flooring from Unique Wood Floors. Easy Online Ordering!
","8/9/14, 1:24 PM","2/21/22, 12:02 PM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=24.96,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Random to 4',manufacturer=True Acacia,mico_carton_min=1,mico_carton_unit=24.96,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut, Shittim,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=FSEP3402-GS358-S,sample_title_type=0,stain=Golden Sagebrush,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3-5/8"",wood=Acacia Confusa"
FSTL3458-N4,70,1,Amendoim Hardwood Flooring | Brazilian Oak Flooring,,Shop Amendoim hardwood flooring from Unique Wood Floors. Easy Online Ordering!,"9/8/14, 1:39 PM","10/8/22, 12:50 PM",,"am_shipping_type=Solid Wood,color=Light,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=18.75,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1912 psi,length=Random to 7',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=18.75,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Brazilian Oak,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=FSTL3458-N4-SAMPLE,sample_title_type=0,stain=Natural,structure=Solid,texture=Smooth,thickness=3/4"",waste_percent=5,width=4"",wood=Amendoim"
FSTL3461-N4,70,1,"Brazilian Macchiato Pecan Hardwood Flooring | Prefinished Solid Hardwood Floors, Elegance Plyquet Wood Flooring | Unique Wood Floors",,,"8/9/14, 1:56 PM","10/8/22, 12:49 PM",,"am_shipping_type=Solid Wood,color=Light,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=18.75,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Random to 7',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=18.75,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Brazilian Pecan,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=FSTL3461-N4-SAMPLE,sample_title_type=0,stain=Natural,structure=Solid,texture=Smooth,thickness=3/4"",waste_percent=5,width=4"",wood=Macchiato Pecan"
FSKY3412-N3D,80,1,"Cumaru Dark Brazilian Teak Hardwood Flooring | Prefinished Solid Hardwood Floors, Elegance Plyquet Wood Flooring | Unique Wood Floors",,,"8/9/14, 2:02 PM","1/30/21, 2:50 PM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=20.08,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=3540 psi,length=Random to 7',manufacturer=Patagonia,mico_carton_min=1,mico_carton_unit=20.08,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Brazilian Teak,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=FSKY3412-N3D-SAMPLE,sample_title_type=0,stain=Natural,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=5,width=3"",wood=Cumaru"
EPCU34-N314,70,1,"Cumaru Natural Brazilian Teak Hardwood Flooring | Prefinished Solid Hardwood Floors, Elegance Plyquet Wood Flooring | Unique Wood Floors",,,"8/9/14, 2:10 PM","10/8/22, 2:08 PM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.75,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=3540 psi,length=Random to 7',manufacturer=Patagonia,mico_carton_min=1,mico_carton_unit=22.75,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Brazilian Teak,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=EPCU34-N314-S,sample_title_type=0,stain=Natural,structure=Solid,texture=Smooth,thickness=3/4"",waste_percent=7,width=3-1/4"",wood=Cumaru"
FSEP3402-N358,70,1,Acacia Natural Plank Hardwood Flooring | Unique Wood Floors,,"Shop Acacia Natural Plank hardwood flooring from Unique Wood Floors. Easy Online Ordering!
","8/9/14, 2:23 PM","7/9/22, 12:04 PM",,"am_shipping_type=Solid Wood,color=Light,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=25.31,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Random to 4',manufacturer=True Acacia,mico_carton_min=1,mico_carton_unit=25.31,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut, Shittim,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=FSEP3402-N358-SAMPLE,sample_title_type=0,stain=Natural,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3-5/8"",wood=Acacia Confusa"
