sku,attribute_set_code,product_online,visibility,additional_attributes
FSEP3402-N3,Migration_Flooring,pending,"Catalog, Search","am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=20.34,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Random to 3',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=20.34,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut, Shittim,popularity_by_rating=0,popularity_by_reviews=291,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSEP3402-N3-SAMPLE,stain=Golden Sagebrush,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3"",wood=Acacia Confusa"
FSEP3402-HSA5,Migration_Flooring,pending,"Catalog, Search","am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.06,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.06,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut, Shittim,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSEP3402-HSA5-SAMPLE,stain=Golden Sagebrush,structure=Solid,texture=Scraped,thickness=11/16"",waste_percent=10,width=5"",wood=Acacia Confusa"
FSEP3481-BG5,Migration_Flooring,pending,"Catalog, Search","am_shipping_type=Solid Wood,color=Dark,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.38,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1900 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.38,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Tuan,sample_allowed=Yes,sample_sku=FSEP3481-BG5-SAMPLE,stain=Burgundy,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=5,width=5"",wood=Pometia"
FSEP3404-CP358,Migration_Flooring,pending,"Catalog, Search","am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=24.96,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1750 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=24.96,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSEP3404-CP358-SAMPLE,stain=Champagne,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3-5/8"",wood=Acacia Magium"
FSTL3452-N325R ,Migration_Flooring,pending,"Catalog, Search","am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Product SKU,creareseo_discontinued_product=FSTL3452-N4,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.75,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1850,length=Random to 6',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.75,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,popularity_by_sells=1,sample_sku=FSTL3452-N325R-SAMPLE,stain=Natural,structure=Solid,texture=Smooth,thickness=3/4"",waste_percent=10,width=3-1/4"",wood=Tigerwood"
FSTL3455-N325,Migration_Flooring,pending,"Catalog, Search","am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.75,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=3684 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.75,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Brazilian Walnut,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSTL3455-N325-SAMPLE,stain=Natural,structure=Solid,texture=Smooth,thickness=3/4"",waste_percent=5,width=3-1/4"",wood=Ipe"
FSEP3404-HS5MC,Migration_Flooring,pending,"Catalog, Search","am_shipping_type=Solid Wood,color=Dark,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Product SKU,creareseo_discontinued_product=FSEP3404-MC358,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.06,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1750 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.06,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSEP3404-HS5MC-SAMPLE,stain=Mocha,structure=Solid,texture=Scraped,thickness=11/16"",waste_percent=10,width=5"",wood=Acacia Magium"
FSEP3404-MC358,Migration_Flooring,pending,"Catalog, Search","am_shipping_type=Solid Wood,color=Dark,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=24.96,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1750 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=24.96,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut,sample_allowed=Yes,sample_sku=FSEP3404-358MC-SAMPLE,stain=Mocha,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3-5/8"",wood=Acacia Magium"
FSEP3402-X3G,Migration_Flooring,pending,"Catalog, Search","am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=11.31,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Uniform 17.72"",manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=11.31,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut, Shittim,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSEP3402-X3G-SAMPLE,stain=Golden Sagebrush,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3"",wood=Acacia Confusa"
FSEP3481-GR5,Migration_Flooring,pending,"Catalog, Search","am_shipping_type=Solid Wood,color=Dark,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.38,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1900 psi,length=Random to 5',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.38,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Pometia,sample_allowed=Yes,sample_sku=FSEP3481-GR5-SAMPLE,stain=Graphite,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=5,width=5"",wood=Pometia"
